spawn telnet localhost 3468
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B218 EBP=0x11B288
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:424,time:1885859078,copy_size:5164340 
checkpoint:425,time:1972712921,copy_size:5402630 
checkpoint:426,time:2022611996,copy_size:5539250 
checkpoint:427,time:2053987894,copy_size:5625160 
checkpoint:428,time:1898469765,copy_size:5199048 
checkpoint:429,time:1862539657,copy_size:5100406 
checkpoint:430,time:1987194642,copy_size:5442136 
checkpoint:431,time:2008883011,copy_size:5501586 
checkpoint:432,time:1907401263,copy_size:5223406 
checkpoint:433,time:2071490309,copy_size:5673208 
checkpoint:434,time:1864459858,copy_size:5105690 
checkpoint:435,time:2021628999,copy_size:5536512 
checkpoint:436,time:1971507972,copy_size:5399256 
checkpoint:437,time:1876477179,copy_size:5138760 
checkpoint:438,time:2087127194,copy_size:5715922 
checkpoint:439,time:1831372822,copy_size:5015044 
checkpoint:440,time:1991160516,copy_size:5452944 
checkpoint:441,time:2031183897,copy_size:5562650 
checkpoint:442,time:1927375528,copy_size:5278224 
checkpoint:443,time:1863271711,copy_size:5102416 
checkpoint:444,time:2000097221,copy_size:5477606 
checkpoint:445,time:1910282140,copy_size:5231338 
checkpoint:446,time:1974702831,copy_size:5407914 
checkpoint:447,time:1907968041,copy_size:5224938 
checkpoint:448,time:1915374281,copy_size:5245334 
checkpoint:449,time:1936652221,copy_size:5303630 
checkpoint:450,time:1975079222,copy_size:5408984 
checkpoint:451,time:1946491903,copy_size:5330584 
checkpoint:452,time:1850156711,copy_size:5066448 
checkpoint:453,time:1973473516,copy_size:5404572 
checkpoint:454,time:2144346591,copy_size:5872832 
checkpoint:455,time:1951700420,copy_size:5344832 
checkpoint:456,time:2018336558,copy_size:5527568 
checkpoint:457,time:1990893618,copy_size:5452268 
checkpoint:458,time:2039814783,copy_size:5586154 
checkpoint:459,time:1929895234,copy_size:5285184 
checkpoint:460,time:1965502867,copy_size:5382730 
checkpoint:461,time:1919172306,copy_size:5255798 
checkpoint:462,time:1979159852,copy_size:5419994 
checkpoint:463,time:1929134197,copy_size:5283012 
checkpoint:464,time:1824315996,copy_size:4995662 
checkpoint:465,time:1819657708,copy_size:4982888 
checkpoint:466,time:1912387888,copy_size:5237104 
checkpoint:467,time:2079333215,copy_size:5694612 
checkpoint:468,time:1956308270,copy_size:5357518 
checkpoint:469,time:2020557978,copy_size:5533598 
checkpoint:470,time:2127389876,copy_size:5826260 
checkpoint:471,time:1916196723,copy_size:5247682 
checkpoint:472,time:1923939128,copy_size:5268764 
checkpoint:473,time:2060717477,copy_size:5643698 
checkpoint:474,time:2026774807,copy_size:5550550 
checkpoint:475,time:2119883828,copy_size:5805914 
checkpoint:476,time:1878312027,copy_size:5143714 
