spawn telnet localhost 3457
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11A238 EBP=0x11A2A8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:282, page_time:8805444, size_db:528384, actual:524584 
checkpoint:283, page_time:8807941, size_db:528384, actual:524584 
checkpoint:284, page_time:13194585, size_db:790528, actual:786792 
checkpoint:285, page_time:4372240, size_db:266240, actual:262376 
checkpoint:286, page_time:13194378, size_db:790528, actual:786792 
checkpoint:287, page_time:16511533, size_db:987136, actual:983424 
checkpoint:288, page_time:4374043, size_db:266240, actual:262376 
checkpoint:289, page_time:4372970, size_db:266240, actual:262376 
checkpoint:290, page_time:4372959, size_db:266240, actual:262376 
checkpoint:291, page_time:4371756, size_db:266240, actual:262376 
checkpoint:292, page_time:8806819, size_db:528384, actual:524584 
checkpoint:293, page_time:4372847, size_db:266240, actual:262376 
checkpoint:294, page_time:4371418, size_db:266240, actual:262376 
checkpoint:295, page_time:13199313, size_db:790528, actual:786792 
checkpoint:296, page_time:4377563, size_db:266240, actual:262376 
checkpoint:297, page_time:4372823, size_db:266240, actual:262376 
checkpoint:298, page_time:13198210, size_db:790528, actual:786792 
checkpoint:299, page_time:13193671, size_db:790528, actual:786792 
checkpoint:300, page_time:8809372, size_db:528384, actual:524584 
checkpoint:301, page_time:8807504, size_db:528384, actual:524584 
checkpoint:302, page_time:13197802, size_db:790528, actual:786792 
checkpoint:303, page_time:17591878, size_db:1052672, actual:1049000 
checkpoint:304, page_time:13198412, size_db:790528, actual:786792 
checkpoint:305, page_time:8807497, size_db:528384, actual:524584 
checkpoint:306, page_time:4377569, size_db:266240, actual:262376 
checkpoint:307, page_time:8810029, size_db:528384, actual:524584 
checkpoint:308, page_time:8807940, size_db:528384, actual:524584 
