spawn telnet localhost 3460
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11A218 EBP=0x11A288
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:319, page_time:2390419, size_db:184320
checkpoint:320, page_time:1328069, size_db:102400
checkpoint:321, page_time:2161199, size_db:167936
checkpoint:322, page_time:1328041, size_db:102400
checkpoint:323, page_time:1099096, size_db:86016
checkpoint:324, page_time:2256963, size_db:176128
checkpoint:325, page_time:3636465, size_db:274432
checkpoint:326, page_time:1274962, size_db:98304
checkpoint:327, page_time:1208928, size_db:94208
checkpoint:328, page_time:3226368, size_db:249856
checkpoint:329, page_time:2496688, size_db:192512
checkpoint:330, page_time:5328246, size_db:397312
checkpoint:331, page_time:1114411, size_db:86016
checkpoint:332, page_time:2586154, size_db:200704
checkpoint:333, page_time:1105437, size_db:86016
checkpoint:334, page_time:1258358, size_db:98304
checkpoint:335, page_time:1260864, size_db:98304
checkpoint:336, page_time:2371247, size_db:184320
checkpoint:337, page_time:5327990, size_db:397312
checkpoint:338, page_time:3240040, size_db:249856
checkpoint:339, page_time:4433608, size_db:331776
checkpoint:340, page_time:2284077, size_db:176128
checkpoint:341, page_time:4652174, size_db:348160
checkpoint:342, page_time:5101739, size_db:380928
checkpoint:343, page_time:1221717, size_db:94208
checkpoint:344, page_time:1155112, size_db:90112
checkpoint:345, page_time:1311429, size_db:102400
checkpoint:346, page_time:1160530, size_db:90112
checkpoint:347, page_time:2480067, size_db:192512
checkpoint:348, page_time:1221937, size_db:94208
checkpoint:349, page_time:1073747, size_db:86016
checkpoint:350, page_time:4631593, size_db:348160
checkpoint:351, page_time:1274954, size_db:98304
checkpoint:352, page_time:5084800, size_db:380928
checkpoint:353, page_time:4433708, size_db:331776
checkpoint:354, page_time:3419439, size_db:262144
checkpoint:355, page_time:1168740, size_db:90112
checkpoint:356, page_time:2266933, size_db:176128
checkpoint:357, page_time:1167750, size_db:90112
checkpoint:358, page_time:2267457, size_db:176128
checkpoint:359, page_time:2600186, size_db:200704
checkpoint:360, page_time:3821432, size_db:286720
checkpoint:361, page_time:4433744, size_db:331776
checkpoint:362, page_time:4433721, size_db:331776
checkpoint:363, page_time:4876323, size_db:364544
checkpoint:364, page_time:1168731, size_db:90112
checkpoint:365, page_time:1250182, size_db:98304
checkpoint:366, page_time:5084808, size_db:380928
checkpoint:367, page_time:2496682, size_db:192512
checkpoint:368, page_time:2602798, size_db:200704
checkpoint:369, page_time:2175896, size_db:167936
checkpoint:370, page_time:1328067, size_db:102400
checkpoint:371, page_time:2591277, size_db:200704
checkpoint:372, page_time:1168739, size_db:90112
checkpoint:373, page_time:5084466, size_db:380928
checkpoint:374, page_time:2390414, size_db:184320
checkpoint:375, page_time:1168744, size_db:90112
checkpoint:376, page_time:2585485, size_db:200704
checkpoint:377, page_time:1115597, size_db:86016
checkpoint:378, page_time:1258350, size_db:98304
checkpoint:379, page_time:2163822, size_db:167936
checkpoint:380, page_time:2494744, size_db:192512
checkpoint:381, page_time:2284076, size_db:176128
checkpoint:382, page_time:2602185, size_db:200704
checkpoint:383, page_time:2176422, size_db:167936
checkpoint:384, page_time:2495657, size_db:192512
checkpoint:385, page_time:2177887, size_db:167936
checkpoint:386, page_time:3240490, size_db:249856
checkpoint:387, page_time:2284093, size_db:176128
checkpoint:388, page_time:3635376, size_db:274432
checkpoint:389, page_time:5107694, size_db:380928
checkpoint:390, page_time:1327243, size_db:102400
checkpoint:391, page_time:1212636, size_db:94208
checkpoint:392, page_time:1308825, size_db:102400
checkpoint:393, page_time:2480033, size_db:192512
checkpoint:394, page_time:1274961, size_db:98304
checkpoint:395, page_time:2588721, size_db:200704
checkpoint:396, page_time:4432116, size_db:331776
checkpoint:397, page_time:1328036, size_db:102400
checkpoint:398, page_time:2166294, size_db:167936
checkpoint:399, page_time:1221188, size_db:94208
checkpoint:400, page_time:1200504, size_db:94208
checkpoint:401, page_time:2583629, size_db:200704
checkpoint:402, page_time:1220975, size_db:94208
checkpoint:403, page_time:2588740, size_db:200704
checkpoint:404, page_time:1115666, size_db:86016
checkpoint:405, page_time:2373806, size_db:184320
checkpoint:406, page_time:1274961, size_db:98304
checkpoint:407, page_time:2588734, size_db:200704
checkpoint:408, page_time:2389422, size_db:184320
checkpoint:409, page_time:1328060, size_db:102400
checkpoint:410, page_time:1315008, size_db:102400
checkpoint:411, page_time:1264425, size_db:98304
checkpoint:412, page_time:1157107, size_db:90112
