spawn telnet localhost 3493
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11A238 EBP=0x11A2A8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:463, page_time:3757465, size_db:262144
checkpoint:464, page_time:2877506, size_db:200704
checkpoint:465, page_time:4119315, size_db:286720
checkpoint:466, page_time:2642641, size_db:184320
checkpoint:467, page_time:1208605, size_db:86016
checkpoint:468, page_time:2406637, size_db:167936
checkpoint:469, page_time:2757993, size_db:192512
checkpoint:470, page_time:1381273, size_db:98304
checkpoint:471, page_time:3757320, size_db:262144
checkpoint:472, page_time:1439719, size_db:102400
checkpoint:473, page_time:3581463, size_db:249856
checkpoint:474, page_time:1323677, size_db:94208
checkpoint:475, page_time:3581576, size_db:249856
checkpoint:476, page_time:4121120, size_db:286720
checkpoint:477, page_time:2760091, size_db:192512
checkpoint:478, page_time:2407753, size_db:167936
checkpoint:479, page_time:5751177, size_db:397312
checkpoint:480, page_time:1439621, size_db:102400
checkpoint:481, page_time:4121122, size_db:286720
checkpoint:482, page_time:2523712, size_db:176128
checkpoint:483, page_time:3939424, size_db:274432
checkpoint:484, page_time:2760074, size_db:192512
checkpoint:485, page_time:2877549, size_db:200704
checkpoint:486, page_time:633040, size_db:45056
checkpoint:487, page_time:2525180, size_db:176128
checkpoint:488, page_time:1323728, size_db:94208
checkpoint:489, page_time:5748252, size_db:397312
checkpoint:490, page_time:2369009, size_db:167936
checkpoint:491, page_time:3758902, size_db:262144
checkpoint:492, page_time:4120398, size_db:286720
checkpoint:493, page_time:2877563, size_db:200704
checkpoint:494, page_time:1381276, size_db:98304
checkpoint:495, page_time:1266142, size_db:90112
checkpoint:496, page_time:5748250, size_db:397312
checkpoint:497, page_time:1323560, size_db:94208
checkpoint:498, page_time:1208431, size_db:86016
checkpoint:499, page_time:4783907, size_db:331776
checkpoint:500, page_time:2514802, size_db:176128
checkpoint:501, page_time:1438136, size_db:102400
checkpoint:502, page_time:4121133, size_db:286720
checkpoint:503, page_time:1381272, size_db:98304
checkpoint:504, page_time:4121108, size_db:286720
checkpoint:505, page_time:1266080, size_db:90112
checkpoint:506, page_time:2757212, size_db:192512
checkpoint:507, page_time:1266079, size_db:90112
checkpoint:508, page_time:2877553, size_db:200704
checkpoint:509, page_time:2514749, size_db:176128
checkpoint:510, page_time:2877541, size_db:200704
checkpoint:511, page_time:2371000, size_db:167936
checkpoint:512, page_time:1381212, size_db:98304
checkpoint:513, page_time:1381329, size_db:98304
checkpoint:514, page_time:2877520, size_db:200704
checkpoint:515, page_time:1266134, size_db:90112
checkpoint:516, page_time:2877520, size_db:200704
checkpoint:517, page_time:1323724, size_db:94208
